Sample Name,Layer,Conc N %,Conc C %,Year
WAL 851.1 - E,5,7.63,20.73,1965
WAL 851.1 - F,6,11.96,33.03,1966
WAL 851.1 - G,7,5.69,15.69,1967
WAL 851.1 - H,8,13.51,37.65,1968
WAL 851.1 - I,9,4.61,13.11,1969
WAL 851.1 K,10,9.30,24.36,1970
WAL 851.1 - L,11,10.71,29.68,1971
WAL 851.1 - M,12,5.47,15.93,1972
WAL 851.1 - N,13,41.71,28.92,1973
,,,,
WAL 852.1 - A,1,10.46,31.08,1965
WAL 852.1 - B,2,8.01,23.39,1966
WAL 852.1 - C,3,6.90,20.37,1967
WAL 852.1 - D,4,9.53,26.54,1968
WAL 852.1 - E,5,7.09,13.67,1969
No raw data,,,,
WAL 852.1 - G,7,6.61,19.46,1971
WAL 852.1 - H,8,5.97,16.44,1972
WAL 852.1 - I,9,5.24,15.81,1973
WAL 852.1 - K,10,5.62,16.18,1974
WAL 852.1 - L,11,5.57,15.26,1975
WAL 852.1 - M,12,5.71,15.93,1976
WAL 852.1 - N,13,7.30,19.43,1977
WAL 852.1 - O,14,7.66,21.53,1978
WAL 852.1 - P,15,7.85,22.77,1979
,,,,
WAL 855.1 - A,1,8.95,22.65,1948
WAL 855.1 - B,2,4.05,10.68,1949
WAL 855.1 - C,3,4.15,12.04,1950
WAL 855.1 - D,,,,
WAL 855.1 - E,5,5.91,17.08,1952
WAL 855.1 - F,6,11.47,29.85,1953
WAL 855.1 - G,7,2.98,9.20,1954
WAL 855.1 - H,,,,
WAL 855.1 - I,9,7.79,22.10,1956
WAL 855.1 - J,10,10.72,28.51,1957
WAL 855.1 - K,11,5.39,15.05,1958
WAL 855.1 - L,12,8.76,24.20,1959
WAL 855.1 - M,13,14.00,40.23,1960
,,,,
WAL 859.1 - A,1,10.22,27.47,1993
WAL 859.1 - B,2,7.95,23.05,1994
WAL 859.1 - C,3,8.18,22.17,1995
WAL 859.1 - D,4,8.08,22.09,1996
WAL 859.1 - E,5,8.92,24.14,1997
WAL 859.1 - F,6,9.04,24.96,1998
WAL 859.1 - G,7,11.36,30.72,1999
WAL 859.1 - H,8,6.37,17.57,2000
WAL 859.1 - I,9,6.32,17.37,2001
WAL 859.1 - J,10,10.43,27.49,2002
WAL 859.1 - K,11,9.01,24.65,2003
WAL 859.1 - L,12,7.60,20.93,2004
WAL 859.1 - M,13,12.58,34.82,2005
WAL 859.1 - N,14,4.32,11.80,2006
WAL 859.1 - O,15,3.64,11.21,2007
,,,,
WAL 862.1 - A,1,11.64,31.15,1970
WAL 862.1 - B,2,9.17,26.42,1971
WAL 862.1 - C,3,7.97,22.86,1972
WAL 862.1 - D,4,6.58,17.86,1973
WAL 862.1 - E,5,7.28,20.49,1974
WAL 862.1 - F,6,5.65,16.73,1975
WAL 862.1 - G,7,8.53,25.08,1976
WAL 862.1 - H,8,5.55,15.55,1977
WAL 862.1 - I,9,3.95,11.43,1978
WAL 862.1 - J,10,5.74,15.63,1979
WAL 862.1 - K,11,13.09,37.98,1980
,,,,
WAL 878 - A,1,8.53,24.22,2008
WAL 878 - B,2,8.21,24.23,2009
WAL 878 - C,3,12.04,34.78,2010
WAL 878 - D,4,4.34,13.04,2011
WAL 878 - E,5,8.22,22.95,2012
WAL 878 - F,6,13.47,35.91,2013
WAL 878 - G,7,6.23,16.72,2014
WAL 878 - H,8,8.59,22.77,2015
,,,,
